1 | Basic Accounting Concepts 11 | Financial Transactions and Fraud Schemes | Basic Accounting Concepts | 16 | 10 | Historical Cost | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Historical Cost Although | Historical Cost Although some exceptions exist, historical cost is, generally, the proper basis for the recording of assets, expenses, equities, etc. For example, a piece of operational machinery should be shown on the balance sheet at initial acquisition cost and not at current market value or an estimated replacement value. | 
12 | Consumer Fraud 58 | Financial Transactions and Fraud Schemes | Consumer Fraud | 15 | 1 | Scavenger or Revenge Scheme | In a/an __________________ scheme, the company that initially conned a consumer contacts that consumer and offers to help retrieve the lost money. However, the investigation requires an up-front fee and the consumer is again swindled. | Scavenger or revenge | Directory | Advance fee | Money manager | Scavenger or Revenge Sche | Scavenger or Revenge Scheme This involves the company that initially conned the consumer. Using a different company’s name, the outfit contacts the consumer again and asks if he would like to help put the unethical company out of business and get his money back. Naturally, an up-front fee is required to finance the investigation. | 
13 | Contract and Procurement Fraud 15 | Financial Transactions and Fraud Schemes | Contract and Procurement Fraud | -1 | -1 | BIT ROTATION | ABC, Inc and XYZ, Inc. are the only two companies in Lincoln County that lay asphalt. An audit reveals that the state is paying more for asphalt work in Lincoln County than in other counties in the state. A review of the records reveals that of the last ten asphalt contracts awarded, five have gone to ABC and five have gone to XYZ What scheme might ABC and XYZ be involved in? | Bid rotation | Phantom bidding | Altering bids | Bid suppression | BID ROTATION Collusive bi | BID ROTATION Collusive bidding occurs when a group of prospective vendors exchange information on contract solicitations, taking turns at submitting the low bid. | 
14 | Financial Institution Fraud 11 | Financial Transactions and Fraud Schemes | Financial Institution Fraud | 128 | 1 | Suspicious Activity Reports | The Office of the Comptroller of the Currency (OCC) requires national banks to submit what type of report if there is a known or suspected criminal violation committed against the bank? | Suspicious Activity Report | Bank Fraud Act Report | IRS Form 1090 | Currency Transaction Report | Suspicious Activity Repor | Suspicious Activity Reports Effective April 1, 1996, the Office of the Comptroller of the Currency (OCC) requires national banks to submit a Suspicious Activity Report (SAR) under certain circumstances (12 C.F.R. § 21.11, as amended). SARs are required in each of the following instances: • There is a known or suspected criminal violation involving the bank and the bank has a Financial Transactions  Financial Institution Fraud 2011 Fraud Examiners Manual   1.943 substantial basis for identifying responsible bank personnel. • There is a known or suspected criminal violation involving the bank, the amount involved is $5,000 or more, and the bank has a substantial basis for identifying a possible suspect. • There is a known or suspected criminal violation involving the bank and the amount involved is $25,000 or more (if the amount in volved is $25,000 or more, even if the bank does not have a substantial basis for identifying a suspect). • Any transaction aggregating $5,000 or more that was conducted or attempted to be conducted through the bank when the bank has reason to suspect that the funds involve potential money laundering, are designed to evade any regulations under the Bank Secrecy Act, or involve computer intrusions.  • Any transaction aggregating $5,000 or more that was conducted or attempted to be conducted through the bank when the bank knows that the customer is operating as an unlicensed money services business. | 
15 | Financial Institution Fraud 12 | Financial Transactions and Fraud Schemes | Financial Institution Fraud | 1 | 1 | Embezzlement Schemes | The wrongful taking or conversion of another's property for the benefit of someone else is most properly referred to as which of the following? | Misapplication | Embezzlement | Larceny | Grand theft | Embezzlement Schemes Embe | Embezzlement Schemes Embezzlement  is defined as the wrongful taking or conversion of the property of another for the wrongdoer’s benefit. Misapplication often accompanies embezzlement, but is a separate and distinct offense. Misapplication is the  wrongful taking or conversion of another’s property for the benefit of someone else. | 
16 | Financial Institution Fraud 13 | Financial Transactions and Fraud Schemes | Financial Institution Fraud | 69 | 1 | Property Flipping | The process of purchasing a home and reselling it at a higher price shortly thereafter is known as: | Property flipping | Strawman lending | Mortgage-backed security fraud | Mortgage-pulling | Property flipping is the | Property flipping is the process by which an investor purchases a home and then resells it at a higher price shortly thereafter. For example, an investor buys a house in need of work for $250,000 in July, renovates the kitchen and the bathrooms and landscapes the yard at a cost of $50,000, and then resells the house two months later (the time it takes to make the renovations) for a price that is reflective of the market for a house in its updated condition. This is a legitimate business transaction, and there are numerous individuals and groups in the real estate market who make an honest living flipping properties. | 
17 | Financial Institution Fraud 25 | Financial Transactions and Fraud Schemes | Financial Institution Fraud | 68 | 20 | Equity Skimming | You are a Certified Fraud Examiner who specializes in financial institution fraud prevention. One of your clients wants to auction off several large residential real estate holdings. Which of the following schemes would you be on the alert for? | Equity skimming | Land flips | Fraudulent present value calculations | Advance fee | Equity Skimming Equity sk | Equity Skimming Equity skimming is a scheme whereby an individual, entity, or group of individuals purchases one or several single-family homes. Typically, the financing is for a percentage of the purchase price (e.g., 80–90 percent) and the owner invests the balance of the purchase price as equity. The home(s) is/are then rented. | 
18 | Financial Institution Fraud 27 | Financial Transactions and Fraud Schemes | Financial Institution Fraud | 111 | 1 | Brokered Loans | B.J., a Certified Fraud Examiner, is evaluating a portfolio of loans for his client, ABC Bank. ABC Bank recently acquired a new portfolio of consumer loans. B.J. notices that the loan package was sold without recourse to the broker, the brokerage fee was high relative to other purchases, and the broker is no longer in business. This particular loan portfolio is experiencing a higher than normal default rate. What type of scheme might B.J have uncovered? | Brokered loan fraud | Letter of credit fraud | Securities fraud | Money transfer fraud | With residential loan pac | With residential loan packages, the broker sells the package, takes the money and disappears. Brokered loans are generally not sold with any recourse to the broker. Therefore, the purchaser must look to the borrower and the underlying collateral for debt satisfaction. With loan participations, the lead bank generally performs the underwriting. However, this does not relieve the participating bank from its obligation to perform its own due diligence. If the participating bank does not independently examine the documentation and perform its own due diligence, then fraud schemes on the part of the selling institution are possible. | 
19 | Financial Institution Fraud 31 | Financial Transactions and Fraud Schemes | Financial Institution Fraud | 8 | 1 | Moving Money from Customers Dormant or Inactive Accounts | A bank or brokerage account showing little or no activity, presumably with small and without increasing balances, in which the account holder cannot be contacted would be defined as what type of account? | Dormant account | Active account | Defunct account | Fraudulent account | Moving Money from Custome | Moving Money from Customers’ Dormant or Inactive Accounts Persons with apparent authority create journal entries or transfer orders not initiated by customers to move money among accounts. Dormant or inactive accounts are those that show little or no activity. Often contact with the account holder by confirmation, letter, or telephone contact is not possible. Such accounts are to be transferred to dual control and recorded in an inactive accounts ledger. State statutes usually provide for escheat or forfeiture to the state after a period of years. | 
20 | Financial Institution Fraud 8 | Financial Transactions and Fraud Schemes | Financial Institution Fraud | 12 | 1 | Loan Fraud | Which of the following usually represents the highest risk for fraud in financial institutions? | Loan fraud | False statements | Embezzlement | Teller fraud | Loan Fraud Loan fraud is | Loan Fraud Loan fraud is a multifaceted activity that includes several types of criminal activities. Larger loan fraud schemes often involve real estate lending and collusion between insiders and outsiders. Loan fraud represents the highest risk  area for financial institutions. Although the number of occurrences might be small, the dollar amount per occurrence tends to be large. | 
21 | Financial Statement Fraud 1 | Financial Transactions and Fraud Schemes | Financial Statement Fraud | 10 | 1 | Timing Differences (Including Premature Revenue Recognition) | Recording expenses in the wrong period and early revenue recognition are classified as what type of financial fraud scheme? | Timing differences | Improper asset valuations | Fictitious revenues | Improper disclosures | Timing Differences (Inclu | Timing Differences (Including Premature Revenue Recognition)  Financial statement fraud might also involve timing differences, that is, the recording of revenues or expenses in improper periods. This can be done to shift revenues or expenses between one period and the next, increasing or decreasing earnings as desired. | 
22 | Financial Statement Fraud 16 | Financial Transactions and Fraud Schemes | Financial Statement Fraud | 1 | 1 | What Is Financial Statement Fraud? | ____________________ is the deliberate misrepresentation of the financial condition of an enterprise accomplished through the intentional misstatement or omission of amounts or disclosures in the financial statements to deceive financial statement users. | Financial statement fraud | Material misstatement | Occupational fraud | Extortion | What Is Financial Stateme | What Is Financial Statement Fraud? Financial statement fraud is the deliberate misrepresentation  of the financial condition of an enterprise accomplished through the intentional misstatement or omission  of amounts or disclosures in the financial statements to deceive  financial statement users. | 
23 | Financial Statement Fraud 2 | Financial Transactions and Fraud Schemes | Financial Statement Fraud | 51 | 1 | Percentage Analysis — Horizontal and Vertical | Vertical analysis is a technique for analyzing the relationships between items on an income statement or balance sheet by expressing all components as percentages. When using vertical analysis of an income statement, which of the following components is assigned 100 percent? | Net sales | Total assets | Gross sales | Net assets | Percentage Analysis — Hor | Percentage Analysis — Horizontal and Vertical  There are traditionally two methods of percentage analysis of financial statements. Vertical analysis  is a technique for analyzing the relationships between the items on an income statement, balance sheet, or statement of cash flows by expressing components as percentages. This method is often referred to as “common sizing” financial statements. In the vertical analysis of an income statement, net sales is assigned 100 percent. For a balance sheet, total assets is assigned 100 percent on the asset side, and total liabilities and equity is expressed as 100 percent. All other items in each of the sections are expressed as a percentage of these numbers. | 
24 | Financial Statement Fraud 20 | Financial Transactions and Fraud Schemes | Financial Statement Fraud | 51 | 1 | Percentage Analysis — Horizontal and Vertical | Financial statement analysis is defined as the examination of relationships between key figures on the financial statements and between amounts on successive financial statements. Which of the following is a technique for analyzing the percentage change in individual income statement or balance sheet items from one year to the next? | Horizontal analysis | Ratio analysis | Vertical analysis | Statistical sampling | Horizontal analysis  is a | Horizontal analysis  is a technique for analyzing the percentage change in individual financial statement items from one period to the next. The first period in the analysis is considered the base period, and the changes in the subsequent period are computed as a percentage of the base period. If more than two periods are presented, each period’s changes are computed as a percentage of the preceding period. As is the case with vertical analysis, this technique will not work for small, immaterial frauds. | 
25 | Health Care Fraud 22 | Financial Transactions and Fraud Schemes | Health Care Fraud | 49 | 1 | Durable Medical Equipment Suppliers | Falsified prescriptions, excessive supplies, milk supplement scams, lymphedema pumps, and scooter scams are forms of fraud commonly involving what type of health care entity? | Durable medical equipment suppliers | Out-patient services groups | Workers' compensation carriers | Hospitals | Durable Medical Equipment | Durable Medical Equipment Suppliers Fraud schemes perpetrated by suppliers of durable medical equipment frequently involve: • Falsified prescriptions. • Excessive supplies. • Equipment not delivered or billed before delivery. • Billing for equipment rental after equipment was returned. • Noncovered supplies,(for example, incontinent care kits). • Milk supplement scam. • Lymphedema pumps. • Scooter scam. | 
26 | Health Care Fraud 39 | Financial Transactions and Fraud Schemes | Health Care Fraud | 85 | 1 | Upcoding | Billing for a higher level of medical service than was actually rendered is called which of the following? | Upcoding | Global service period violation | Fragmenting | Uplinking | Upcoding Upcoding is bill | Upcoding Upcoding is billing for a higher level of service than was rendered. One common form of upcoding involves generic substitution—filling a prescription with a less expensive drug, while billing for the more expensive form of the drug. | 
27 | Insurance Fraud 16 | Financial Transactions and Fraud Schemes | Insurance Fraud | 18 | 1 | Ditching | One type of vehicle insurance scam involves the owner of the vehicle cashing in on an insurance policy by abandoning the vehicle and falsely reporting it stolen. This type of scam is called: | Ditching | Churning | Sliding | Twisting | Ditching Ditching, also k | Ditching Ditching, also known as owner give-ups, is getting rid of a vehicle to cash in on an insurance policy or to settle an outstanding loan. The vehicle is normally expensive and purchased with a small down payment. The vehicle is reported stolen, although in some cases, the owner just abandons the vehicle hoping that it is stolen, stripped for parts, or taken to a pound and destroyed. The scheme sometimes involves homeowner’s insurance for the property that was “stolen” in the vehicle. | 
28 | Insurance Fraud 4 | Financial Transactions and Fraud Schemes | Insurance Fraud | 1 | 1 | Types of Insurance Policies | The indemnity against loss to a third party when the insured fails to fulfill a specific undertaking for the third party's benefit is referred to as: | An indemnity bond | Fidelity insurance | Casualty insurance | Disability insurance | Disability insurance inde | Disability insurance indemnifies against income loss under defined circumstances. Life insurance indemnifies for the death of the insured. Fidelity insurance indemnifies against economic loss to the insured because of employee dishonesty. Bonds indemnify against loss to third-party beneficiaries when the insured fails to fulfill a specific undertaking for the third  party’s benefit. | 
29 | Inventory and Other Assets 29 | Financial Transactions and Fraud Schemes | Inventory and Other Assets | 4 | 1 | Larceny Schemes | Black's Law Dictionary defines which of the following as "felonious stealing, taking and carrying... away another's personal property with intent to convert it or deprive the owner thereof? | Larceny | Stealing | Theft | Skimming | Larceny Schemes  The text | Larceny Schemes  The textbook definition of larceny is “Felonious stealing, taking and carrying, leading, riding, or driving away another’s personal property, with intent to convert it or to deprive owner thereof. The unlawful taking and carrying away of property of another with intent to appropriate it to use inconsistent with latter’s rights.” 1 This definition is so broad, it encompasses every kind of asset theft. In order to gain a more specific understanding of the methods used to steal inventory and other assets, the definition of larceny has been restricted. For the purposes of classifying asset misappropriations, the term larceny is meant to refer to the most basic type of inventory theft, the schemes in which an employee simply takes inventory from the company premises without attempting to conceal the theft in the books and records. (See “Non-cash Larceny” flowchart.) In other fraud schemes, employees may create false documentation to justify the shipment of merchandise or tamper with inventory records to conceal missing assets. Larceny schemes are more blunt. The culprit in these crimes takes company assets without trying to “justify” their absence. | 
30 | Money Laundering 15 | Financial Transactions and Fraud Schemes | Money Laundering | 3 | 1 | Placement | The stage in which money laundering schemes are most often detected is called: | Placement | Integration | Washing | Layering | Placement Placement of fu | Placement Placement of funds into a financial institution is the initial step in the process. It is at this step that legislation has been developed to prevent launderers from depositing or converting large amounts of cash at financial institutions or taking cash out of the country. Money laundering schemes are most often detected at this stage. | 
31 | Money Laundering 16 | Financial Transactions and Fraud Schemes | Money Laundering | 9 | 1 | Depositing Cash and Writing Checks in Excess of Reported Revenues and Expenses (Balance Sheet Laundering) | XYZ Company deposits an extra $20,000 a month in its bank account although there are no recorded sales for that amount. At the end of the year, the company has an extra $240,000 in its account. This type of money laundering scheme is most properly referred to as: | Balance sheet laundering | Overstatement of reported expenses | Overstatement of reported revenues | Smurfing | Depositing Cash and Writi | Depositing Cash and Writing Checks in Excess of Reported Revenues and Expenses (Balance Sheet Laundering) Rather than attempting to disguise money as normal business revenue, excess funds can simply be deposited into the bank account of the business. This technique is known as Financial Transactions  Money Laundering 2011 Fraud Examiners Manual   1.1605 balance sheet laundering because it is independent of the money that flows in and out of  the business. | 
32 | Money Laundering 2 | Financial Transactions and Fraud Schemes | Money Laundering | 6 | 2 | Using a Legitimate Business to Launder Funds | The use of a legitimate business enterprise as a front to conceal and co-mingle illicit dollars is an example of what type of scheme? | Money laundering | Fictitious vendor | Fictitious trade payable | Money hiding | Using a Legitimate Busine | Using a Legitimate Business to Launder Funds One of the most common methods of laundering funds is to filter the money through a legitimate business, otherwise known as a “front” business. A front business can be a very effective way to launder money because it provides a safe place for organizing and managing criminal activity, where the comings and goings of large numbers of people will not arouse undue suspicion. In addition, a front that does legitimate business provides cover for delivery and transportation related to illegal activity. The expenses from illegal activity can be attributed to the legitimate enterprise, and illegal revenues can be easily placed into the enterprise. | 
33 | Money Laundering 20 | Financial Transactions and Fraud Schemes | Money Laundering | 39 | 1 | PATRIOT Act of 2001 | The title of the Congressional legislation passed in October of 2001 that aimed to curtail money laundering, particularly to prevent financing of terrorist activities, is referred to as which of the following? | The USA PATRIOT Act | The Anti-Money Laundering Act | The Anti-Terrorism Act | The Privacy Act | PATRIOT Act of 2001 On Oc | PATRIOT Act of 2001 On October 26, 2001, President George W. Bush signed into law the Uniting and Strengthening America by Providing Appropriate Tools Required to Intercept and Obstruct Terrorism Act  (the PATRIOT Act). The PATRIOT Act was a response to the tragedies of September 11, 2001, and reflected Congressional concern with the money laundering activities of the terrorists who committed those attacks. | 
34 | Money Laundering 4 | Financial Transactions and Fraud Schemes | Money Laundering | -1 | -1 | Introduction | Page, a Certified Fraud Examiner is investigating the sources of income of a suspect. Page notices that funds available to the suspect include the suspect's interest in a restaurant/bar. Page has surveyed the establishment several times and notices that the business, even during peak times, is minimal. Yet the income reported from this restaurant/bar is phenomenal. Of the following list, which scheme might the suspect be involved in? | Money laundering | Overstatement of expenses | Conflict of interest | Bankruptcy fraud | Introduction Money launde | Introduction Money laundering is the disguising of the existence, nature, source, ownership, location, and disposition of property derived from criminal activity. Although it is not currently possible to quantify the total volume of money laundered globally or in the U.S., it is clearly an enormous problem existing within every financial system. Nevertheless, the continuing demand to know how much money is laundered annually has led many organizations to calculate and offer their own estimations. For example, the International Monetary Fund estimated that money laundering caused a total monetary loss of $590 billion to $1.5 trillion globally in 1996, the United Nations estimated a loss of $500 billion to $1 trillion globally in 2005, and a 2007 KPMG survey found that money-laundering flows exceed $1 trillion per year. | 
35 | Public Sector Fraud 22 | Financial Transactions and Fraud Schemes | Public Sector Fraud | 33 | 1 | Beneficiary Fraud | Beneficiary frauds are most likely to be perpetrated by which of the following? | Individuals | Medical professionals | Lawyers | Organized crime rings | Beneficiary Fraud Benefic | Beneficiary Fraud Beneficiary frauds tend to be perpetrated by individuals, without collusion or bribery. The motive for this type of fraud is personal gain (or reduction of loss) by the perpetrator. | 
36 | Securities Fraud 17 | Financial Transactions and Fraud Schemes | Securities Fraud | 17 | 4 | Self-Regulatory Organizations | Which of the following is an example of a self-regulatory organization? | FINRA | SEC | CIA | FBI | Self-Regulatory Organizat | Self-Regulatory Organizations SEC delegates significant regulatory authority to “self-regulatory organizations” (SROs). SROs oversee the markets they operate and police the member firms participating in those markets. SROs create and enforce rules dealing with such areas as securities listings, exchange and settlement procedures, and member qualifications.  The Maloney Act of 1938 amended the Securities Exchange Act of 1934 to allow the National Association of Securities Dealers (NASD) to regulate the business of members subject to Securities and Exchange Commission oversight.   In 2007, the Financial Industry Regulatory Authority (FINRA) was created through the consolidation of NASD and the member regulation, enforcement, and arbitration functions of the New York Stock Exchange. FINRA is dedicated to investor protection and market integrity through effective and efficient regulation and complementary compliance and technology-based services. | 
37 | Securities Fraud 18 | Financial Transactions and Fraud Schemes | Securities Fraud | 18 | 1 | State Regulation | State laws regulating securities are often referred to as ___________ laws. | Blue sky | Red hot | Gold coin | Hard money | State Regulation The firs | State Regulation The first state securities laws of any substance were enacted in Kansas around 1911. State securities laws are often referred to as “blue sky laws.” The term “blue sky” came into use in 1917 after a judge issued an opinion describing the purpose of these laws as preventing “speculative schemes, which have no more basis than so many feet of blue sky.” | 
38 | Securities Fraud 19 | Financial Transactions and Fraud Schemes | Securities Fraud | 10 | 1 | CIVIL CERTIFICATIONS (§ 302) | Under Section 302 of the Sarbanes-Oxley Act, the CEO and CFO are required to personally certify that they have evaluated the company's days.within the past ninety | Internal controls | Audit committee | Material misstatements | Personal loans | CIVIL CERTIFICATIONS (§ 3 | CIVIL CERTIFICATIONS (§ 302) Section 302 of the Act requires the CEO and CFO to personally certify the following in their reports:  • They have personally reviewed the report;  • Based on their knowledge, the report does not contain any material misstatement that would render the financials misleading;  • Based on their knowledge the financial information in the report fairly presents in all material respects the financial condition, results of operations, and cash flow of the company;  • They are responsible for designing, maintaining, and evaluating the company’s internal controls, they have evaluated the controls within 90 days prior to the report, and they have presented their conclusions about the effectiveness of those controls in the report; • They have disclosed to the auditors and the audit committee any material weaknesses in the controls and any fraud, whether material or not, that involves management or other employees who have a significant role in the company’s internal controls; and • They have indicated in their report whether there have been significant changes in the company’s internal controls since the filing of the last report. | 
39 | Securities Fraud 20 | Financial Transactions and Fraud Schemes | Securities Fraud | 16 | 1 | SECURITIES FRAUD (TITLE 18, U.S. CODE, § 1348) | Under the SEC rules related to Section 802 of the Sarbanes-Oxley Act, accountants who perform audits on publicly traded companies must maintain all audit or review work papers for a period of _________ years. | Seven | Fifteen | Ten | Three | The final rules adopted b | The final rules adopted by the SEC under section 802 specifically require that accountants who perform audits on publicly traded companies must maintain all audit or review work papers for a period of seven years. Although the original provisions of section 802 only Securities Fraud  Financial Transactions   1.1512                           2011 Fraud Examiners Manual  required a retention period of five years, the SEC extended the requirement to be consistent with the seven-year retention period required under the Auditing Standards promulgated by the Public Company Accounting Oversight Board (PCAOB) per section 103 of the Act. Violations of the final SEC rules may be punished by fines up to $250,000 and up to 10 years in jail for individuals, or fines up to $500,000 for corporations. | 
40 | Securities Fraud 21 | Financial Transactions and Fraud Schemes | Securities Fraud | 11 | 1 | Standards for Audit Committee Independence | Under the Sarbanes-Oxiey Act, which of the following is responsible for establishing procedures for receiving and dealing with complaints and anonymous employee tips regarding irregularities in the company's accounting methods, internal controls, or auditing matters? | Audit committee | Internal auditor | Board of directors | Chief executive officer | ESTABLISHING A WHISTLEBLO | ESTABLISHING A WHISTLEBLOWING STRUCTURE The Act makes it the responsibility of the audit committee to establish procedures (e.g., a hotline) for receiving and dealing with complaints and anonymous employee tips regarding irregularities in the company’s accounting methods, internal controls, or auditing matters. | 
41 | Securities Fraud 22 | Financial Transactions and Fraud Schemes | Securities Fraud | 57 | 4 | Churning | One type of securities fraud involves brokers who engage in excessive trading of a customer account to create commissions for themselves and their firms. This type of fraud is called which of the following? | Churning | Front running | Conversion | Parking | Churning  Churning is the | Churning  Churning is the excessive trading of a customer account for the purpose of generating commissions. For securities and options there is a commission charged when the trade is entered into and when the trade is liquidated. Commodity futures have a round-turn commission scheme meaning that the commission covers both the purchase and sale. Commissions on commodity futures are not charged until the trade is closed out. | 
42 | Securities Fraud 26 | Financial Transactions and Fraud Schemes | Securities Fraud | 29 | 1 | Risk Capital Test | The ______________ test is an alternative to the Howey test that many courts use in securities fraud cases. | Risk Capital | Investment skills | Profit management | Risk management | Risk Capital Test  As an | Risk Capital Test  As an alternative to the Howey Test many state and federal courts are using the so-called “Risk Capital Test.” This “test” allows the invest or to play a more active role if the funds he contributes are part of the “risk capital” of the business. A person entrusts money or other capital to another with the expectation of deriving a profit. The failure or success of the venture is dependent upon the managerial efforts of the other person. Several states have formally adopted this test, sometimes known as the Hawaii Market Test, as an alternative definition of investment contract. However, the Supreme Court has expressly declined to decide if this test should be used. | 
