1 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Income Statement | 7 | 1 | Income Statement Whereas | Income Statement Whereas the balance sheet shows a company’s | 2 | 1 | 0 | 
12 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Financial Statements | 5 | 2 | Other comprehensive bases | Other comprehensive bases of accounting, according to AU sec | 1 | 1 | 0 | 
13 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Financial Statements | 5 | 2 | Consequently, the term fi | Consequently, the term financial statements  includes almost | 4 | 3 | 0 | 
14 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Balance Sheet | 6 | 3 | Balance Sheet The balance | Balance Sheet The balance sheet shows a snapshot” of a compa | 3 | 2 | 0 | 
15 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Balance Sheet | 6 | 3 | The following balance she | The following balance sheet, derived from the journal entrie | 1 | 1 | 0 | 
16 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Balance Sheet | 6 | 3 | Financial Transactions  A | Financial Transactions  Accounting Concepts 2011 Fraud Exami | 5 | 1 | 0 | 
17 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Balance Sheet | 6 | 3 | As mentioned, assets are | As mentioned, assets are the resources owned by a company. G | 6 | 2 | 0 | 
18 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Balance Sheet | 6 | 3 | Liabilities are presented | Liabilities are presented in order of maturity. Like current | 5 | 2 | 0 | 
19 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Balance Sheet | 6 | 3 | The owners’ equity in a f | The owners’ equity in a firm generally represents amounts fr | 4 | 2 | 0 | 
20 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Objectivity | 21 | 4 | Objectivity Accounting re | Objectivity Accounting records should be designed and kept o | 5 | 2 | 0 | 
21 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Basic Underlying Accounting Principles | 15 | 5 | Basic Underlying Accounti | Basic Underlying Accounting Principles Basic accounting prin | 3 | 3 | 0 | 
22 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Basic Underlying Accounting Principles | 15 | 5 | Accounting Concepts  Fina | Accounting Concepts  Financial Transactions   1.116          | 2 | 1 | 0 | 
23 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Generally Accepted Accounting Principles (GAAP) | 14 | 6 | Generally Accepted Accoun | Generally Accepted Accounting Principles (GAAP) In preparing | 4 | 3 | 0 | 
24 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Generally Accepted Accounting Principles (GAAP) | 14 | 6 | In 2009, FASB launched th | In 2009, FASB launched the FASB Accounting Standards Codific | 1 | 1 | 0 | 
25 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Generally Accepted Accounting Principles (GAAP) | 14 | 6 | While the U.S. has its ow | While the U.S. has its own set of accounting standards that  | 4 | 2 | 0 | 
26 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounting Methods | 4 | 7 | Accounting Methods There | Accounting Methods There are two primary methods of accounti | 2 | 1 | 0 | 
27 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounting Methods | 4 | 7 | Accrual-basis accounting, | Accrual-basis accounting, on the other hand, requires revenu | 7 | 2 | 0 | 
28 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounting Methods | 4 | 7 | Under cash accounting, a | Under cash accounting, a company may decide to postpone payi | 4 | 3 | 0 | 
29 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounts and the Accounting Cycle | 2 | 8 | Accounts and the Accounti | Accounts and the Accounting Cycle The major components of th | 1 | 1 | 0 | 
30 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounts and the Accounting Cycle | 2 | 8 | Entries to the left side | Entries to the left side of an account are debits (dr) and e | 1 | 2 | 0 | 
31 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounts and the Accounting Cycle | 2 | 8 | Fraud investigation often | Fraud investigation often requires an understanding of the d | 3 | 2 | 0 | 
32 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounts and the Accounting Cycle | 2 | 8 | Assets  =  Liabilities + | Assets  =  Liabilities + Owner's EquitiesFinancial Transacti | 4 | 2 | 0 | 
33 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounts and the Accounting Cycle | 2 | 8 | Illustrated below is this | Illustrated below is this flow of transactional information  | 2 | 1 | 0 | 
34 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounting Basics | 1 | 9 | Accounting Basics Account | Accounting Basics Accounting can be defined as the identific | 1 | 1 | 0 | 
35 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounting Basics | 1 | 9 | Assets = Liabilities + Ow | Assets = Liabilities + Owners’ Equity | 1 | 1 | 0 | 
36 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounting Basics | 1 | 9 | By definition, assets con | By definition, assets consist of the net resources owned by  | 2 | 1 | 0 | 
37 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounting Basics | 1 | 9 | Liabilities are the oblig | Liabilities are the obligations of an entity or outsiders’ c | 3 | 1 | 0 | 
38 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Accounting Basics | 1 | 9 | This equation has been th | This equation has been the cornerstone of accounting since 1 | 4 | 1 | 0 | 
39 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Historical Cost | 16 | 10 | Historical Cost Although | Historical Cost Although some exceptions exist, historical c | 4 | 2 | 1 | 
40 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | ACCOUNTING CONCEPTS | 0 | 11 | Fraudulent acts are usual | Fraudulent acts are usually of a financial nature. The fraud | 4 | 2 | 0 | 
41 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Statement of Owners’ Equity | 8 | 12 | Statement of Owners’ Equi | Statement of Owners’ Equity The statement of owners’ equity  | 5 | 1 | 0 | 
42 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Statement of Owners’ Equity | 8 | 12 | XYZ Company Statement of | XYZ Company Statement of Owners’ Equity For the Year Ended D | 2 | 1 | 0 | 
43 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Statement of Owners’ Equity | 8 | 12 | XYZ Company completed two | XYZ Company completed two types of transactions that affecte | 2 | 2 | 0 | 
44 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Statement of Owners’ Equity | 8 | 12 | Some companies present a | Some companies present a statement of retained earnings rath | 1 | 1 | 0 | 
45 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Statement of Owners’ Equity | 8 | 12 | XYZ Company Statement of | XYZ Company Statement of Retained Earnings For the Year Ende | 2 | 1 | 0 | 
46 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Statement of Owners’ Equity | 8 | 12 | Accounting Concepts  Fina | Accounting Concepts  Financial Transactions   1.112          | 2 | 1 | 0 | 
47 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Journal Entries | 3 | 13 | Journal Entries  As trans | Journal Entries  As transactions occur, they are recorded in | 1 | 1 | 0 | 
48 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Journal Entries | 3 | 13 | Transaction Occurs Purcha | Transaction Occurs Purchase Orders, Receipts, and Other Docu | 3 | 1 | 0 | 
49 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Matching | 18 | 14 | Matching The matching pri | Matching The matching principle requires that expenses be re | 3 | 2 | 0 | 
50 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Users of Financial Statements | 13 | 15 | Users of Financial Statem | Users of Financial Statements Financial statement fraud sche | 3 | 2 | 0 | 
51 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Users of Financial Statements | 13 | 15 | Financial Transactions  A | Financial Transactions  Accounting Concepts 2011 Fraud Exami | 2 | 1 | 0 | 
52 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Revenue Recognition | 17 | 16 | Revenue Recognition In ge | Revenue Recognition In general, revenue is recognized or rec | 1 | 1 | 0 | 
53 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Revenue Recognition | 17 | 16 | Therefore, revenue should | Therefore, revenue should not be recognized for work that is | 1 | 2 | 0 | 
54 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Departures from GAAP — Modifying Conventions | 26 | 17 | Departures from GAAP — Mo | Departures from GAAP — Modifying Conventions As with rules f | 1 | 2 | 0 | 
55 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Consistency | 19 | 18 | Consistency Entities shou | Consistency Entities should employ consistent accounting pro | 3 | 2 | 0 | 
56 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Substance over Form | 29 | 19 | Substance over Form The e | Substance over Form The economic substance of a transaction  | 1 | 2 | 0 | 
57 | Basic Accounting Concepts 11 | Fisher, a Certified Fraud Examiner was hired to look at certain assets of ABC Company, which may be fraudulently overvalued by management. Fisher determined that the building cost $11.5 million, has a tax value of $11,250,000, and a recent appraisal for $14 million What generally accepted accounting principle governs how this land should be carried on ABC Company's books? | The historical cost principle | The value-added principle | The first-in-first-out principle | The market-to-market principle | Cash Flows from Operations | 10 | 20 | Cash Flows from Operation | Cash Flows from Operations The cash flows from operations se | 0 | 1 | 0 | 
