rid|qid|dr|nwic|llcs|icp|opt1|opt2|opt3|opt4|pid|pass
14|Basic Accounting Concepts 11|3|3|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Balance Sheet The balance|Balance Sheet The balance sheet shows a snapshot” of a compa
15|Basic Accounting Concepts 11|3|1|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|The following balance she|The following balance sheet, derived from the journal entrie
16|Basic Accounting Concepts 11|3|5|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Financial Transactions  A|Financial Transactions  Accounting Concepts 2011 Fraud Exami
17|Basic Accounting Concepts 11|3|6|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|As mentioned, assets are|As mentioned, assets are the resources owned by a company. G
18|Basic Accounting Concepts 11|3|5|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Liabilities are presented|Liabilities are presented in order of maturity. Like current
19|Basic Accounting Concepts 11|3|4|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|The owners’ equity in a f|The owners’ equity in a firm generally represents amounts fr
20|Basic Accounting Concepts 11|4|5|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Objectivity Accounting re|Objectivity Accounting records should be designed and kept o
21|Basic Accounting Concepts 11|5|3|3|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Basic Underlying Accounti|Basic Underlying Accounting Principles Basic accounting prin
22|Basic Accounting Concepts 11|5|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Accounting Concepts  Fina|Accounting Concepts  Financial Transactions   1.116         
23|Basic Accounting Concepts 11|6|4|3|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Generally Accepted Accoun|Generally Accepted Accounting Principles (GAAP) In preparing
24|Basic Accounting Concepts 11|6|1|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|In 2009, FASB launched th|In 2009, FASB launched the FASB Accounting Standards Codific
25|Basic Accounting Concepts 11|6|4|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|While the U.S. has its ow|While the U.S. has its own set of accounting standards that 
26|Basic Accounting Concepts 11|7|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Accounting Methods There|Accounting Methods There are two primary methods of accounti
27|Basic Accounting Concepts 11|7|7|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Accrual-basis accounting,|Accrual-basis accounting, on the other hand, requires revenu
28|Basic Accounting Concepts 11|7|4|3|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Under cash accounting, a|Under cash accounting, a company may decide to postpone payi
29|Basic Accounting Concepts 11|8|1|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Accounts and the Accounti|Accounts and the Accounting Cycle The major components of th
30|Basic Accounting Concepts 11|8|1|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Entries to the left side|Entries to the left side of an account are debits (dr) and e
31|Basic Accounting Concepts 11|8|3|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Fraud investigation often|Fraud investigation often requires an understanding of the d
32|Basic Accounting Concepts 11|8|4|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Assets  =  Liabilities +|Assets  =  Liabilities + Owners EquitiesFinancial Transacti
33|Basic Accounting Concepts 11|8|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Illustrated below is this|Illustrated below is this flow of transactional information 
34|Basic Accounting Concepts 11|9|1|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Accounting Basics Account|Accounting Basics Accounting can be defined as the identific
35|Basic Accounting Concepts 11|9|1|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Assets = Liabilities + Ow|Assets = Liabilities + Owners’ Equity
36|Basic Accounting Concepts 11|9|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|By definition, assets con|By definition, assets consist of the net resources owned by 
37|Basic Accounting Concepts 11|9|3|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Liabilities are the oblig|Liabilities are the obligations of an entity or outsiders’ c
38|Basic Accounting Concepts 11|9|4|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|This equation has been th|This equation has been the cornerstone of accounting since 1
39|Basic Accounting Concepts 11|10|4|2|1|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Historical Cost Although|Historical Cost Although some exceptions exist, historical c
40|Basic Accounting Concepts 11|11|4|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Fraudulent acts are usual|Fraudulent acts are usually of a financial nature. The fraud
41|Basic Accounting Concepts 11|12|5|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Statement of Owners’ Equi|Statement of Owners’ Equity The statement of owners’ equity 
42|Basic Accounting Concepts 11|12|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|XYZ Company Statement of|XYZ Company Statement of Owners’ Equity For the Year Ended D
43|Basic Accounting Concepts 11|12|2|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|XYZ Company completed two|XYZ Company completed two types of transactions that affecte
44|Basic Accounting Concepts 11|12|1|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Some companies present a|Some companies present a statement of retained earnings rath
45|Basic Accounting Concepts 11|12|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|XYZ Company Statement of|XYZ Company Statement of Retained Earnings For the Year Ende
46|Basic Accounting Concepts 11|12|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Accounting Concepts  Fina|Accounting Concepts  Financial Transactions   1.112         
47|Basic Accounting Concepts 11|13|1|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Journal Entries  As trans|Journal Entries  As transactions occur, they are recorded in
48|Basic Accounting Concepts 11|13|3|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Transaction Occurs Purcha|Transaction Occurs Purchase Orders, Receipts, and Other Docu
49|Basic Accounting Concepts 11|14|3|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Matching The matching pri|Matching The matching principle requires that expenses be re
50|Basic Accounting Concepts 11|15|3|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Users of Financial Statem|Users of Financial Statements Financial statement fraud sche
51|Basic Accounting Concepts 11|15|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Financial Transactions  A|Financial Transactions  Accounting Concepts 2011 Fraud Exami
52|Basic Accounting Concepts 11|16|1|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Revenue Recognition In ge|Revenue Recognition In general, revenue is recognized or rec
53|Basic Accounting Concepts 11|16|1|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Therefore, revenue should|Therefore, revenue should not be recognized for work that is
54|Basic Accounting Concepts 11|17|1|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Departures from GAAP — Mo|Departures from GAAP — Modifying Conventions As with rules f
55|Basic Accounting Concepts 11|18|3|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Consistency Entities shou|Consistency Entities should employ consistent accounting pro
56|Basic Accounting Concepts 11|19|1|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Substance over Form The e|Substance over Form The economic substance of a transaction 
57|Basic Accounting Concepts 11|20|0|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Cash Flows from Operation|Cash Flows from Operations The cash flows from operations se
58|Basic Accounting Concepts 11|20|3|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|This category can also be|This category can also be summarized as those cash transacti
59|Basic Accounting Concepts 11|20|0|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|There are two methods of|There are two methods of reporting cash flows from operation
60|Basic Accounting Concepts 11|20|0|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|In contrast, the indirect|In contrast, the indirect method  reconciles net income per 
61|Basic Accounting Concepts 11|20|2|1|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|XYZ Company Statement of|XYZ Company Statement of Cash Flows — Indirect Method For th
62|Basic Accounting Concepts 11|20|3|2|0|The historical cost principle|The value-added principle|The first-in-first-out principle|The market-to-market principle|Accounting Concepts  Fina|Accounting Concepts  Financial Transactions   1.114         
63|Cash Receipts Schemes 2|1|0|0|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|ASSET MISAPPROPRIATION: C|ASSET MISAPPROPRIATION: CASH RECEIPTS
64|Cash Receipts Schemes 2|1|3|3|1|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Asset misappropriations a|Asset misappropriations are by far the most common of all oc
65|Cash Receipts Schemes 2|1|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Cash is the focal point o|Cash is the focal point of most accounting entries. Cash, bo
66|Cash Receipts Schemes 2|1|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Cash receipts schemes fal|Cash receipts schemes fall into two categories, skimming  an
67|Cash Receipts Schemes 2|2|2|3|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Lapping Lapping customer|Lapping Lapping customer payments is one of the most common 
68|Cash Receipts Schemes 2|2|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Suppose a company has thr|Suppose a company has three customers, A, B, and C. When A’s
69|Cash Receipts Schemes 2|2|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|When B’s check arrives, t|When B’s check arrives, the thief posts this money to A’s ac
70|Cash Receipts Schemes 2|2|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|EXAMPLE A clerk working f|EXAMPLE A clerk working for a government agency committed a 
71|Cash Receipts Schemes 2|2|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|As the rotating schedule|As the rotating schedule of applying and misapplying payment
72|Cash Receipts Schemes 2|2|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Because lapping schemes c|Because lapping schemes can become very intricate, fraudster
73|Cash Receipts Schemes 2|2|2|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|While lapping is more com|While lapping is more commonly used to conceal receivables s
74|Cash Receipts Schemes 2|3|4|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Other Larceny of Sales an|Other Larceny of Sales and Receivables Not all receipts arri
75|Cash Receipts Schemes 2|3|2|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Those employees who have|Those employees who have total control of a company’s accoun
76|Cash Receipts Schemes 2|3|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|EXAMPLE An employee poste|EXAMPLE An employee posted customer payments to the accounts
77|Cash Receipts Schemes 2|3|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|In circumstances in which|In circumstances in which payments are stolen but nonetheles
78|Cash Receipts Schemes 2|3|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|A less elegant way to hid|A less elegant way to hide a crime is to simply destroy all 
79|Cash Receipts Schemes 2|4|2|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Cash Larceny In the occup|Cash Larceny In the occupational fraud setting, a cash larce
80|Cash Receipts Schemes 2|4|2|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Asset Misappropriation: C|Asset Misappropriation: Cash Receipts Financial Transactions
81|Cash Receipts Schemes 2|5|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Skimming Skimming is the|Skimming Skimming is the removal of cash from a victim entit
82|Cash Receipts Schemes 2|5|4|3|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Skimming is one of the mo|Skimming is one of the most common forms of occupational fra
83|Cash Receipts Schemes 2|5|2|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Asset Misappropriation: C|Asset Misappropriation: Cash Receipts Financial Transactions
84|Cash Receipts Schemes 2|6|2|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|REGISTER MANIPULATION Ins|REGISTER MANIPULATION Instead of using reversing entries, an
85|Cash Receipts Schemes 2|7|2|3|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Theft of Cash from the Re|Theft of Cash from the Register A large percentage of cash l
86|Cash Receipts Schemes 2|7|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|The most straightforward|The most straightforward cash larceny scheme is to simply op
87|Cash Receipts Schemes 2|7|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Recall that the difficult|Recall that the difficulty in detecting skimming schemes com
88|Cash Receipts Schemes 2|7|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|A register is balanced by|A register is balanced by comparing the transactions on the 
89|Cash Receipts Schemes 2|7|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Financial Transactions  A|Financial Transactions  Asset Misappropriation: Cash Receipt
90|Cash Receipts Schemes 2|7|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|The actual method for tak|The actual method for taking money at the register — opening
91|Cash Receipts Schemes 2|7|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|The employee who does not|The employee who does nothing to camouflage his crimes is ea
92|Cash Receipts Schemes 2|7|2|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Asset Misappropriation: C|Asset Misappropriation: Cash Receipts Financial Transactions
93|Cash Receipts Schemes 2|7|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|EXAMPLE A teller for a re|EXAMPLE A teller for a retail sales company simply signed on
94|Cash Receipts Schemes 2|7|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|A very unsophisticated wa|A very unsophisticated way to avoid detection is to steal cu
95|Cash Receipts Schemes 2|8|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Cash Larceny from the Dep|Cash Larceny from the Deposit At some point in every revenue
96|Cash Receipts Schemes 2|8|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Typically, when a company|Typically, when a company receives cash, someone is assigned
97|Cash Receipts Schemes 2|8|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Financial Transactions  A|Financial Transactions  Asset Misappropriation: Cash Receipt
98|Cash Receipts Schemes 2|8|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Asset Misappropriation: C|Asset Misappropriation: Cash Receipts Financial Transactions
99|Cash Receipts Schemes 2|8|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|A failure to reconcile th|A failure to reconcile the bank copy of the deposit slip wit
100|Cash Receipts Schemes 2|8|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|When cash is stolen from|When cash is stolen from the deposit, the receipted deposit 
101|Cash Receipts Schemes 2|8|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|EXAMPLE An employee alter|EXAMPLE An employee altered 24 deposit slips and validated b
102|Cash Receipts Schemes 2|8|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|One common-sense issue th|One common-sense issue that is sometimes over looked by orga
103|Cash Receipts Schemes 2|8|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Financial Transactions  A|Financial Transactions  Asset Misappropriation: Cash Receipt
104|Cash Receipts Schemes 2|8|2|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Asset Misappropriation: C|Asset Misappropriation: Cash Receipts Financial Transactions
105|Cash Receipts Schemes 2|9|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Sales Skimming The most b|Sales Skimming The most basic skimming scheme occurs when an
106|Cash Receipts Schemes 2|9|2|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Consider one of the simpl|Consider one of the simplest and most common sales transacti
107|Cash Receipts Schemes 2|9|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|If the employee is skimmi|If the employee is skimming money, however, it will be impos
108|Cash Receipts Schemes 2|9|2|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Asset Misappropriation: C|Asset Misappropriation: Cash Receipts Financial Transactions
109|Cash Receipts Schemes 2|10|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Skimming During Nonbusine|Skimming During Nonbusiness Hours Another way to skim unreco
110|Cash Receipts Schemes 2|10|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|EXAMPLE A manager of a re|EXAMPLE A manager of a retail facility went to work two hour
111|Cash Receipts Schemes 2|10|2|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|To this point skimming ha|To this point skimming has been discussed in the context of 
112|Cash Receipts Schemes 2|11|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|General Controls Sales en|General Controls Sales entries and general ledger access con
113|Cash Receipts Schemes 2|12|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Register Manipulation Som|Register Manipulation Some employees might ring a no sale” o
114|Cash Receipts Schemes 2|12|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Some employees may also r|Some employees may also rig their registers so that a sale c
115|Cash Receipts Schemes 2|12|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|EXAMPLE A service station|EXAMPLE A service station employee hid stolen gasoline sales
116|Cash Receipts Schemes 2|12|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|When the ribbon is remove|When the ribbon is removed from the register, the result is 
117|Cash Receipts Schemes 2|12|2|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Fraudsters will often man|Fraudsters will often manually roll back the tape when they 
118|Cash Receipts Schemes 2|13|1|3|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Segregation of Duties The|Segregation of Duties The primary prevention of cash larceny
119|Cash Receipts Schemes 2|13|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|If any one person has the|If any one person has the authority to collect the cash, dep
120|Cash Receipts Schemes 2|14|2|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Receipt or Sales Level Co|Receipt or Sales Level Control  As with most fraud schemes, 
121|Cash Receipts Schemes 2|15|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Forcing Account Balances|Forcing Account Balances or Destroying Transaction Records A
122|Cash Receipts Schemes 2|15|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|EXAMPLE The chief financi|EXAMPLE The chief financial officer of a small corporation s
123|Cash Receipts Schemes 2|15|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|The perpetrator stole che|The perpetrator stole checks in an amount equal to the victi
124|Cash Receipts Schemes 2|15|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Some fraudsters simply de|Some fraudsters simply destroy all records that might prove 
125|Cash Receipts Schemes 2|16|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Skimming of Off-Site Sale|Skimming of Off-Site Sales Several industries rely on remote
126|Cash Receipts Schemes 2|16|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Asset Misappropriation: C|Asset Misappropriation: Cash Receipts Financial Transactions
127|Cash Receipts Schemes 2|16|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Instead of skimming rent,|Instead of skimming rent, some property managers focus on le
128|Cash Receipts Schemes 2|16|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Off-site skimming is by n|Off-site skimming is by no means limited to the apartment re
129|Cash Receipts Schemes 2|17|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Detection of Skimming Sch|Detection of Skimming Schemes The following are some detecti
130|Cash Receipts Schemes 2|18|0|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Inventory Padding A probl|Inventory Padding A problem for fraudsters in some skimming 
131|Cash Receipts Schemes 2|18|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|When a sale of goods is m|When a sale of goods is made, the physical inventory is redu
132|Cash Receipts Schemes 2|18|2|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|When an employee skims sa|When an employee skims sales of services there is no shrinka
133|Cash Receipts Schemes 2|19|0|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Deposits in Transit A fin|Deposits in Transit A final strategy used to conceal stolen 
134|Cash Receipts Schemes 2|19|1|1|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|EXAMPLE An employee was r|EXAMPLE An employee was responsible for receiving collection
135|Cash Receipts Schemes 2|20|0|0|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|Poor Collection Procedure|Poor Collection Procedures Poor collection and recording pro
136|Cash Receipts Schemes 2|20|1|2|0|Asset misappropriation|Fraudulent financial statements|Bribery|Extortion|EXAMPLE A governmental au|EXAMPLE A governmental authority that dealt with public hous
137|Check and Credit Card Fraud 11|1|3|2|1|Paperhangers|Phonies|Launderers|Checksters|Paperhangers Paperhangers|Paperhangers Paperhangers are the experts of phony check pas
138|Check and Credit Card Fraud 11|1|0|1|0|Paperhangers|Phonies|Launderers|Checksters|These experts will go to|These experts will go to great lengths to blend in with the 
139|Check and Credit Card Fraud 11|2|1|1|0|Paperhangers|Phonies|Launderers|Checksters|Check Fraud Rings Since t|Check Fraud Rings Since the late 1980s, foreign crime rings 
140|Check and Credit Card Fraud 11|2|1|1|0|Paperhangers|Phonies|Launderers|Checksters|The perpetrators of organ|The perpetrators of organized check fraud activity are often
141|Check and Credit Card Fraud 11|2|1|2|0|Paperhangers|Phonies|Launderers|Checksters|The equipment essential t|The equipment essential to a check fraud ring are a laser sc
142|Check and Credit Card Fraud 11|2|1|1|0|Paperhangers|Phonies|Launderers|Checksters|Most rings specialize in|Most rings specialize in payroll or other institutional chec
143|Check and Credit Card Fraud 11|2|2|1|0|Paperhangers|Phonies|Launderers|Checksters|In recent years, members|In recent years, members of Nigerian and Vi etnamese rings h
144|Check and Credit Card Fraud 11|2|0|1|0|Paperhangers|Phonies|Launderers|Checksters|Foreign crime rings that|Foreign crime rings that practice check fraud are ethnically
145|Check and Credit Card Fraud 11|3|2|2|0|Paperhangers|Phonies|Launderers|Checksters|Check Theft Three types o|Check Theft Three types of check theft are:  using stolen ca
146|Check and Credit Card Fraud 11|4|1|1|0|Paperhangers|Phonies|Launderers|Checksters|Traveler’s Checks The use|Traveler’s Checks The use of traveler’s checks is declining 
147|Check and Credit Card Fraud 11|4|1|2|0|Paperhangers|Phonies|Launderers|Checksters|Anyone familiar with trav|Anyone familiar with traveler’s checks knows that $100 check
148|Check and Credit Card Fraud 11|4|2|2|0|Paperhangers|Phonies|Launderers|Checksters|Traveler’s checks have se|Traveler’s checks have several distinguishing features. Wate
149|Check and Credit Card Fraud 11|5|1|1|0|Paperhangers|Phonies|Launderers|Checksters|Person to Person (P2P) Pa|Person to Person (P2P) Payment Systems Personal online payme
150|Check and Credit Card Fraud 11|5|1|3|0|Paperhangers|Phonies|Launderers|Checksters|One restriction of most c|One restriction of most current P2P systems is that they wil
151|Check and Credit Card Fraud 11|6|1|1|0|Paperhangers|Phonies|Launderers|Checksters|Skimming This scheme requ|Skimming This scheme requires a device known as a wedge, whi
152|Check and Credit Card Fraud 11|7|0|0|0|Paperhangers|Phonies|Launderers|Checksters|Dumpster Diving Often, ch|Dumpster Diving Often, check fraud can be as simple as retri
153|Check and Credit Card Fraud 11|7|1|1|0|Paperhangers|Phonies|Launderers|Checksters|EXAMPLE Thirty people wer|EXAMPLE Thirty people were charged in a $10 millio n fraud s
154|Check and Credit Card Fraud 11|7|0|0|0|Paperhangers|Phonies|Launderers|Checksters|Obviously, this type of f|Obviously, this type of fraud is easily preventable through 
155|Check and Credit Card Fraud 11|8|1|1|0|Paperhangers|Phonies|Launderers|Checksters|Creditmaster This softwar|Creditmaster This software program, downloadable from the In
156|Check and Credit Card Fraud 11|9|0|1|0|Paperhangers|Phonies|Launderers|Checksters|FINGERPRINT IDENTIFIERS A|FINGERPRINT IDENTIFIERS A biometric fingerprint identifier  
157|Check and Credit Card Fraud 11|9|1|1|0|Paperhangers|Phonies|Launderers|Checksters|Non-account holders who w|Non-account holders who want checks cashed at banks that hav
158|Check and Credit Card Fraud 11|10|0|1|0|Paperhangers|Phonies|Launderers|Checksters|Check Kiting Check kiting|Check Kiting Check kiting is one of the original white-colla
159|Check and Credit Card Fraud 11|10|1|2|0|Paperhangers|Phonies|Launderers|Checksters|Floating makes check kiti|Floating makes check kiting possible. Floating is the additi
160|Check and Credit Card Fraud 11|11|1|2|0|Paperhangers|Phonies|Launderers|Checksters|Payroll Check Fraud Check|Payroll Check Fraud Check procurers employed by payroll chec
